Abrangência;Nome;Casos suspeitos;% Casos suspeitos;Casos confirmados;% Casos confirmados;Casos descartados;% Casos descartados;Óbitos;% Óbitos;Total;Transmissão local
Unidade da Federação;Rondônia (RO);2;66,67;0;0,00;1;33,33;0;0,00;3;Não
Unidade da Federação;Acre (AC);3;100,00;0;0,00;0;0,00;0;0,00;3;Não
Unidade da Federação;Amazonas (AM);1;12,50;0;0,00;7;87,50;0;0,00;8;Não
Unidade da Federação;Pará (PA);1;4,76;0;0,00;20;95,24;0;0,00;21;Não
Unidade da Federação;Tocantins (TO);2;100,00;0;0,00;0;0,00;0;0,00;2;Não
Região;Norte;9;24,32;0;0,00;28;75,68;0;0,00;37;-
Unidade da Federação;Maranhão (MA);6;75,00;0;0,00;2;25,00;0;0,00;8;Não
Unidade da Federação;Piauí (PI);1;33,33;0;0,00;2;66,67;0;0,00;3;Não
Unidade da Federação;Ceará (CE);22;27,16;0;0,00;59;72,84;0;0,00;81;Não
Unidade da Federação;Rio Grande do Norte (RN);12;42,86;1;3,57;15;53,57;0;0,00;28;Não
Unidade da Federação;Paraíba (PB);11;50,00;0;0,00;11;50,00;0;0,00;22;Não
Unidade da Federação;Pernambuco (PE);18;41,86;2;4,65;23;53,49;0;0,00;43;Não
Unidade da Federação;Alagoas (AL);6;42,86;1;7,14;7;50,00;0;0,00;14;Não
Unidade da Federação;Sergipe (SE);4;57,14;0;0,00;3;42,86;0;0,00;7;Não
Unidade da Federação;Bahia (BA);65;63,11;2;1,94;36;34,95;0;0,00;103;Sim
Região;Nordeste;145;46,93;6;1,94;158;51,13;0;0,00;309;-
Unidade da Federação;Minas Gerais (MG);106;54,92;2;1,04;85;44,04;0;0,00;193;Não
Unidade da Federação;Espírito Santo (ES);51;69,86;1;1,37;21;28,77;0;0,00;73;Não
Unidade da Federação;Rio de Janeiro (RJ)*;76;31,02;22;8,98;147;60,00;0;0,00;245;Sim
Unidade da Federação;São Paulo (SP)**;752;55,21;65;4,77;545;40,01;0;0,00;1.362;Sim
Região;Sudeste;985;52,59;90;4,81;798;42,61;0;0,00;1.873;-
Unidade da Federação;Paraná (PR);60;51,72;6;5,17;50;43,10;0;0,00;116;Não
Unidade da Federação;Santa Catarina (SC);85;66,41;4;3,13;39;30,47;0;0,00;128;Não
Unidade da Federação;Rio Grande do Sul (RS);80;27,68;6;2,08;203;70,24;0;0,00;289;Não
Região;Sul;225;42,21;16;3,00;292;54,78;0;0,00;533;-
Unidade da Federação;Mato Grosso do Sul (MS);15;48,39;0;0,00;16;51,61;0;0,00;31;Não
Unidade da Federação;Mato Grosso (MT);6;46,15;0;0,00;7;53,85;0;0,00;13;Não
Unidade da Federação;Goiás (GO);4;7,14;3;5,36;49;87,50;0;0,00;56;Não
Unidade da Federação;Distrito Federal (DF);107;60,11;6;3,37;65;36,52;0;0,00;178;Não
Região;Centro-Oeste;132;47,48;9;3,24;137;49,28;0;0,00;278;-
País;Brasil;1.496;49,37;121;3,99;1.413;46,63;0;0,00;3.030;-

Observações
*Transmissão comunitária no município do Rio de Janeiro
**Transmissão comunitária no município de São Paulo.

Fonte
Ministério da Saúde
Dados atualizados em 14/03/2020 às 16:25